name,method,seed,role,target_minutes,actual_minutes,updates,distinct_high,distinct_low,val_ap,test_ap,val_high_nll,test_auc,p1000,parent_relative_ap,spr_spearman,spr_ci_low,spr_ci_high,spr_binding_auc,spr_quantitative_n,spr_parent_relative_spearman,entropy,site_entropy,mean_hamming,unique,max_frequency,not_in_train,heldout_matches,heldout_high,test_matches,test_unique_matches,test_match_high,outside_library,kl_parent,eligible,selected
continued_sft_seed20260918_budget180,continued_sft,20260918.0,raw_budget,3.0,3.00093363030752,1335.0,120477.0,0.0,0.9686323638346415,0.96951551527508,1.4989118549495244,0.9804582926570575,1.0,0.5243854598994894,0.5237761652485543,0.4060498572926167,0.6290101044292421,,152,0.10783893273766028,13.724575364875793,19.999017106848754,7.582545374537454,0.9765,0.0003,0.5967,938,0.990405117270789,467,454,0.987152034261242,0.5029,0.3951546860694885,True,True
continued_sft_seed20260918_budget360,continued_sft,20260918.0,raw_budget,6.0,6.000256885210674,2663.0,120477.0,0.0,0.9685737318883498,0.9691304209384592,1.5042100521238624,0.9801613204170695,1.0,0.5421555041848455,0.5308241823212445,0.41151498870105807,0.6327799670577298,,152,0.1261176446512702,13.72838396844864,19.975076768612787,7.5752239823982395,0.9796,0.0004,0.579,883,0.9977349943374858,442,429,0.997737556561086,0.4907,0.4720348364830017,True,False
continued_sft_seed20260918_budget600,continued_sft,20260918.0,raw_budget,10.0,10.000944806544002,4431.0,120477.0,0.0,0.9679313539152179,0.9686109674916772,1.5268617273863554,0.9799154303740573,1.0,0.6208102722189648,0.5270259418478893,0.40811338243814677,0.6313030698183555,,152,0.17438930000585118,13.463868070697785,19.861754483490984,7.544550915091509,0.9776,0.0003,0.5307,918,0.9956427015250545,457,444,0.9956236323851203,0.43889999999999996,0.6249140426635742,True,False
continued_sft_seed20260919_budget180,continued_sft,20260919.0,raw_budget,3.0,3.0019200002034534,1327.0,120477.0,0.0,0.969239363696466,0.9705467417142953,1.4985928205579193,0.9810492588418643,1.0,0.6036348964334026,0.49116733959224035,0.3539510717771986,0.6204221862714797,,152,0.03909641858358778,13.6375183177948,19.860641505396583,7.55222302230223,0.9718,0.0003,0.5728,917,0.9945474372955289,463,450,0.9978401727861771,0.48109999999999997,0.4082897838592529,True,True
continued_sft_seed20260919_budget360,continued_sft,20260919.0,raw_budget,6.0,6.001008397420254,2654.0,120477.0,0.0,0.969078477251028,0.9705045297928214,1.5053017209680675,0.981027791000005,1.0,0.6285058421511338,0.47812380932971493,0.336740069141795,0.6075388116922803,,152,0.02257757517540114,13.684530987358093,19.872833257278483,7.548250225022502,0.9771,0.0003,0.5699,872,0.9931192660550459,439,435,0.9954441913439636,0.4827,0.46911175880432127,True,False
continued_sft_seed20260919_budget600,continued_sft,20260919.0,raw_budget,10.0,10.001095887629207,4423.0,120477.0,0.0,0.9678165400470324,0.9694109781311886,1.525151467816354,0.9804381589272356,1.0,0.6702298873336574,0.4609830318089321,0.31666931522101527,0.5915639109051822,,152,0.050204093490147705,13.451744158935547,19.803116722956922,7.535156555655566,0.979,0.0003,0.5291,880,0.9954545454545455,444,430,0.9932432432432432,0.44110000000000005,0.6280538955688476,True,False
continued_sft_seed20260920_budget180,continued_sft,20260920.0,raw_budget,3.0,3.000781003824872,1326.0,120477.0,0.0,0.9691841090819369,0.9701722639635859,1.4965263036632324,0.9808141296585826,1.0,0.6339779624093869,0.5282612670220844,0.40044330017127083,0.6433615175807706,,152,0.0664136784522357,13.713368156528473,19.80655632442639,7.533802440244024,0.978,0.0003,0.5984,931,0.9957035445757251,470,459,0.9936170212765958,0.5053000000000001,0.370323442363739,True,True
continued_sft_seed20260920_budget360,continued_sft,20260920.0,raw_budget,6.0,6.001761567624405,2652.0,120477.0,0.0,0.96874158806142,0.9698187790376482,1.5053582010866735,0.9806430964953846,1.0,0.6491485753998982,0.5256419675863427,0.3955856894380665,0.640729978681269,,152,0.050204093490147705,13.673797677612304,19.96230939325518,7.579869406940694,0.9798,0.0005,0.5725,942,0.9968152866242038,464,457,0.9956896551724138,0.47829999999999995,0.49132875747680665,True,False
continued_sft_seed20260920_budget600,continued_sft,20260920.0,raw_budget,10.0,10.001518571281416,4420.0,120477.0,0.0,0.9680950727179419,0.968801917536214,1.5264047464313555,0.9801072800832107,1.0,0.6762274055447597,0.5084328456575824,0.3775426108181177,0.6292315515113481,,152,0.03369037591255939,13.378724076080323,19.865962751734166,7.550078447844784,0.9739,0.0003,0.5124,830,0.9951807228915662,420,412,0.9952380952380953,0.4294,0.6457390498161316,True,False
dpo_seed20260918_budget1200,dpo,20260918.0,raw_budget,20.0,20.001070337549898,7538.0,120477.0,113530.0,0.973412739306178,0.9727194024971487,4.202279315413259,0.9836629239651279,1.0,0.9558767234754517,0.25371665434545493,0.10490982021644518,0.4022240114525443,,152,0.024626198804529792,6.938976385116577,14.146450881777856,6.246956295629563,0.2367,0.0434,0.4653,1609,1.0,773,207,1.0,0.3044,4.754726464748383,False,False
